,Province,Inhabitants,Land area,Inhabitants per square km,Average household income,Latitude,Longitude,Number of cinemas,Number of cinemas per inhabitant,Number of cinemas per square km,Number of cinemas per inhabitant times square km,Number of inhabitants per cinema,Number of potential customers for a new cinema,Label,Mean number of cinemas per inhabitant,Mean number of cinemas per square km,Mean number of cinemas per inhabitant times square km,Std number of cinemas per inhabitant,Std number of cinemas per square km,Std number of cinemas per inhabitant times square km
Dongen,Noord-Brabant,26061,29.24,881.0,29800.0,51.6247384,4.936678400000001,1.9,7.290587467863858e-05,0.06497948016415869,0.002131767775603392,13716.315789473685,8986,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Dordrecht,Zuid-Holland,118667,78.54,1508.0,27900.0,51.8075316,4.6677478,1.3,1.0955025407232002e-05,0.016552075375604786,0.0008604076954840015,91282.30769230769,51594,1,3.0440756654428055e-05,0.07143909940827131,0.0006882066354724089,2.041897661087393e-05,0.043632581678239454,0.0003806281459146849
Drechterland,Noord-Holland,19604,58.89,330.0,31000.0,52.65570515,5.18535946066344,1.1,5.6110997755560094e-05,0.018678892851078283,0.003304376657824934,17821.81818181818,9335,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Drimmelen,Noord-Brabant,27162,95.18,284.0,31300.0,51.7081516,4.8046508,0.5,1.8408070097930933e-05,0.0052532044547173775,0.0017520801119210662,54324.0,18108,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Dronten,Flevoland,40797,333.57,122.0,29000.0,52.53172775,5.75053478514506,0.5,1.2255803122778636e-05,0.0014989357556135145,0.004088168247665269,81594.0,27198,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Druten,Gelderland,18790,37.64,497.0,29600.0,51.88473605,5.60042658345203,0.1,5.321979776476849e-06,0.002656748140276302,0.00020031931878658862,187900.0,17081,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Duiven,Gelderland,25339,33.9,750.0,29600.0,51.9495859,6.0245940000000004,2.9,0.00011444808398121472,0.0855457227138643,0.0038797900469631787,8737.586206896553,6497,7,0.00010977323523697737,0.07603103977158712,0.004730246323375737,5.9698739733946024e-05,0.03789049401910738,0.0030897049645269518
Echt-Susteren,Limburg,31646,103.07,308.0,29000.0,51.0821352,5.899125547533701,0.5,1.579978512292233e-05,0.004851072086931212,0.0016284838526196043,63292.0,21097,2,2.150591976542731e-05,0.009049930577187048,0.0018403203289503968,1.721622391496517e-05,0.00888637718596235,0.0015214627270522035
Edam-Volendam,Noord-Holland,36094,54.33,662.0,33000.0,52.54861165,5.02661566420633,0.7,1.9393805064553663e-05,0.012884226026136572,0.0010536654291572005,51562.857142857145,21231,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
Ede,Gelderland,115732,318.18,360.0,30000.0,52.045826500000004,5.6702011,2.1,1.8145370338367953e-05,0.006600037714501226,0.005773493934261915,55110.47619047619,37332,0,1.1382810388708286e-05,0.0037663469914448566,0.002251506319830709,9.507703010641844e-06,0.005431216973948226,0.0020741386639016608
Eemnes,Utrecht (provincie),9117,31.04,294.0,33700.0,52.254741499999994,5.28607099551365,3.4,0.0003729296917845783,0.1095360824742268,0.01157573763299331,2681.470588235294,2072,3,0.0002630518942516105,0.16837823415237024,0.006811689234400736,6.809743530881317e-05,0.07247212850785036,0.0027467097958134594
Eersel,Noord-Brabant,19111,82.46,228.0,35000.0,51.3586373,5.3201315000000005,1.0,5.2325885615614045e-05,0.01212709192335678,0.004314792527863534,19111.0,9555,4,3.39586659765619e-05,0.01705138471271403,0.002350964697774102,2.7087480259710103e-05,0.01809930930053315,0.002074040538459369
